,index,Selected Characteristics,Characteristic Breakdown,Not Voting (in thousands),Illness or Disability (%),Out of Town (%),Forgot to Vote (%),Not Interested (%),"Too Busy, Conflicting Schedule (%)",Transporation Problems (%),Did Not Like Candidates or Campaign Issues (%),Registration Problems (%),Bad Weather Conditions (%),Inconvenient Polling Place (%),Other Reason (%),Dont Know or Refused (%)
12,12,Race and Hispanic origin,White alone or in combination,33334,12.4,11.1,5.3,11.7,27.7,1.7,7.7,3.8,0.5,2.4,9.0,6.6
13,13,Race and Hispanic origin,Black alone or in combination ,4973,13.1,7.6,7.6,11.2,24.5,4.1,5.4,3.6,0.7,2.7,9.6,9.9
14,14,Race and Hispanic origin,Asian alone or in combination,1194,7.7,13.1,6.7,8.2,28.9,0.7,4.9,4.9,0.2,2.7,9.9,12.1
15,15,Educational Attainment,Less than high school graduate,4895,25.7,6.0,7.7,12.6,16.3,4.4,7.2,3.2,0.6,2.1,9.1,5.1
16,16,Educational attainment,High school graduate,13870,13.8,8.5,5.6,13.6,25.5,2.3,8.0,2.9,0.6,2.2,9.4,7.7
17,17,Educational attainment,Some college,12624,9.0,12.1,5.9,10.3,29.7,1.5,7.2,4.1,0.7,2.7,9.2,7.5
18,18,Educational attainment,Bachelors degree or more,8339,7.4,14.9,4.2,9.2,33.2,0.7,6.5,5.3,0.3,2.8,8.5,7.0
19,19,Nativity,Native-born citizen,37272,12.2,10.6,5.7,11.7,27.2,2.1,7.4,3.8,0.6,2.5,9.2,7.2
20,20,Nativity,Naturalized citizen,2455,14.3,12.6,5.4,9.0,29.5,0.8,6.3,4.0,0.2,2.7,8.4,6.7
21,21,Duration of Residence,Less than 1 year,6935,6.3,9.5,6.4,10.4,29.0,2.6,5.8,11.5,0.4,2.2,10.4,5.6
22,22,Duration of residence,1 to 2 years,6576,8.4,9.6,5.6,11.9,30.3,2.2,6.7,5.2,0.3,3.2,11.1,5.6
23,23,Duration of residence,3 years or longer,25719,15.1,11.3,5.5,11.7,26.3,1.8,8.0,1.5,0.7,2.4,8.1,7.6
24,24,Duration of residence,"Don't know, refused",497,9.4,8.2,6.0,12.2,17.0,1.7,2.7,1.6,0.0,0.3,14.4,26.4
25,25,Region,Northeast,7198,12.9,11.4,3.8,13.0,27.4,1.4,8.1,2.0,0.2,2.2,9.8,8.0
26,26,Region,Midwest,8626,11.9,11.2,4.2,12.7,27.9,2.1,8.9,3.3,0.3,2.1,8.3,7.1
27,27,Region,South,17329,13.2,10.2,6.2,10.8,27.7,2.4,6.6,4.2,0.9,2.5,8.4,6.8
28,28,Region,West,6575,10.1,10.6,8.0,10.1,25.6,1.3,6.3,5.7,0.3,3.3,11.4,7.4
29,29,Income,Total family members,29159,11.7,11.1,5.6,11.4,28.9,1.5,7.1,3.4,0.5,2.6,8.6,7.7
30,30,Family income2,"Less than $10,000",1132,21.7,3.2,9.4,13.6,18.7,6.1,3.4,4.4,0.3,2.9,9.8,6.6
31,31,Family income2,"$10,000 to $14,999",1206,20.9,3.7,10.1,11.9,19.1,4.5,5.7,4.8,0.9,1.6,10.6,6.3
32,32,Family income2,"$15,000 to $19,999",933,24.4,8.1,7.4,11.2,23.3,2.0,5.2,5.8,0.6,0.5,7.0,4.5
33,33,Family income2,"$20,000 to $29,999",2702,17.2,7.5,8.3,11.6,24.6,2.6,8.1,3.9,1.0,2.4,7.7,5.2
34,34,Family income2,"$30,000 to $39,999",3132,12.5,7.8,5.4,12.7,28.7,2.3,7.6,4.6,1.0,3.1,8.5,5.8
35,35,Family income2,"$40,000 to $49,999",2162,13.1,10.4,2.8,11.0,28.9,1.6,8.4,2.2,0.5,2.6,11.0,7.7
36,36,Family income2,"$50,000 to $74,999",5842,7.4,11.0,5.7,12.2,32.8,0.6,7.9,3.0,0.2,3.1,8.7,7.2
37,37,Family income2,"$75,000 to $99,999",3670,7.1,13.2,5.5,11.0,32.6,0.4,8.0,2.6,0.3,2.5,8.2,8.5
38,38,Family income2,"$100,000 to $149,999",2871,6.7,16.9,3.5,9.3,35.0,0.6,6.1,3.3,0.6,3.0,8.0,7.1
39,39,Family income2,"$150,000 and over",2026,6.1,20.9,4.1,9.1,29.4,0.2,5.4,3.6,0.2,2.6,7.9,10.6
40,40,Family income2,Income not reported,3483,14.9,10.4,4.9,11.8,25.2,1.1,6.7,2.7,0.3,2.0,8.2,11.8
