Table with row headers in column A and column headers in rows 5 through 7.,,,,,,,,,,,,,
"Table 12. Reasons for Not Voting, by Selected Characteristics: November 2008",,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,
(leading dots indicate subparts),,,,,,,,,,,,,
Characteristic,Total,Percent distribution of reasons for not voting,,,,,,,,,,,
,,Illness or disability,Out of town,Forgot to vote,Not interested,"Too busy, conflicting schedule",Transportation problems,Did not like candidates or campaign issues,Registration problems,Bad weather conditions,Inconvenient polling place,Other reason,Don't know or refused
.Less than 1 year,"2,917",8.2,9.1,2.7,10.8,21.4,4.3,9.8,14.9,0.2,2.5,12.8,3.5
.1 to 2 years,"2,351",10.9,10.2,3.6,11.3,20.3,1.9,11.7,6.6,0.1,3,14.1,6.3
.3 years or longer,"9,719",18,8.5,2.3,14.8,15.7,2.4,14.2,3.3,0.3,2.7,10.2,7.8
".Don't know, refused",180,12.1,4.8,-,7.8,19.5,1.4,8.5,0.8,-,1.1,10.7,33.3
Region,,,,,,,,,,,,,
.Northeast,"2,618",15.7,8.7,2.6,13.4,14.5,2.4,14.2,5.4,-,4.2,10.6,8.4
.Midwest,"3,591",14.4,8.3,2.3,13,18.2,2.9,15.5,4.7,0,2.2,11,7.4
.South,"6,452",16.7,8.2,2.3,13.3,17.5,2.9,12,6.4,0.5,2.2,11.6,6.4
.West,"2,506",10.5,11.1,3.7,14.3,20,1.8,10.2,7.2,-,3.1,11.5,6.6
Annual family income,,,,,,,,,,,,,
.Total family members,"10,665",13.6,8.9,2.5,14.4,18.5,2,12.3,5.8,0.3,2.5,11.5,7.8
".Less than $10,000",563,19.9,4.5,4.1,7.6,16.7,7,11.5,9.4,0.4,3.1,10.2,5.5
".$10,000 to $14,999",522,22.4,5.5,2.9,12.1,14.7,3.6,8.7,6.5,0.5,2.1,12.7,8.2
".$15,000 to $19,999",422,20.5,4.1,0.8,10.8,21.9,4,13.6,4,-,2.1,11.3,6.8
".$20,000 to $29,999","1,263",17.5,6,0.7,11.4,14.6,3.9,15.6,7.6,0,2.2,11.5,9
".$30,000 to $39,999","1,258",14.1,4.9,2.2,16.9,18.5,1.8,15.1,5.3,0.2,2.4,11.4,7.1
".$40,000 to $49,999",896,13.6,6.8,2.3,14.7,18.8,3.2,15,3.9,-,3.4,11.4,7
".$50,000 to $74,999","2,022",10.9,10.5,3.3,17.2,21.1,0.5,12.7,4.7,0,2.1,11.4,5.7
".$75,000 to $99,999",998,6.6,13.3,3.1,17.1,22,0.7,7.1,7.5,0,3.6,12.4,6.7
".$100,000 to $149,999",976,9.6,10.8,1.9,11.7,19.4,0.6,12,8.5,-,3.3,13.2,9
".$150,000 and over",550,5.3,20.9,4.5,12.5,19.1,0.8,10,4.1,-,0.4,10.2,12.1
.Income not reported,"1,195",17.1,10,1.8,16.2,15.5,0.4,9.9,3.7,1.6,2.8,10.2,10.7
,,,,,,,,,,,,,
"Separate estimates for the race group “White Non-Hispanic Alone or in Combination,” which were included in 2004, have been removed from this ",,,,,,,,,,,,,
table. Please contact the Education and Social Stratification Branch if you have any questions (301-763-2464),,,,,,,,,,,,,
,,,,,,,,,,,,,
"Note: Federal surveys now give respondents the option of reporting more than one race.  Therefore, two basic ways of defining a race group are possible.  A group such as Asian may be defined as those who reported Asian and no other race (the race-alone or single-race concept) or as those who reported Asian regardless of whether they also reported another race (the race-alone-or-in-combination concept).  This table shows data for people who reported they were the single race White and not Hispanic, people who reported the single race Black, and people who reported the single race Asian.  Use of the single-race populations does not imply that it is the preferred method of presenting or analyzing data.",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Total figure in Table 12 is the number of registered citizens who reported not voting, excluding those who were counted as ""not voting"" based on non-response to the initial question on voting. ",,,,,,,,,,,,,
,,,,,,,,,,,,,
"NOTE: "" - "" Represents zero or rounds to zero.",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, November 2008.",,,,,,,,,,,,,
"Internet Release date:  July, 2009",,,,,,,,,,,,,
