"Table with row headers in columns A and B, and column headers in rows 5 through 6 and rows 60 through 61.",,,,,,,,,,,,,,
"Table 10. Reasons For Not Voting, By Selected Characteristics: November 2018",,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Selected characteristics,,Total not voting1 ,Percent distribution of reasons for not voting,,,,,,,,,,,
,,,Illness or disability,Out of town,Forgot to vote,Not interested,"Too busy, conflicting schedule",Transportation problems,Did not like candidates or campaign issues,Registration problems,Bad weather conditions,Inconvenient polling place,Other reason,Don't know or refused
,,,,,,,,,,,,,,
Selected characteristics,,Margins of error for distribution of reasons for not voting,,,,,,,,,,,,
,,Illness or disability,Out of town,Forgot to vote,Not interested,"Too busy, conflicting schedule",Transportation problems,Did not like candidates or campaign issues,Registration problems,Bad weather conditions,Inconvenient polling place,Other reason,Don't know or refused,
TOTAL, ,0.6,0.5,0.4,0.7,0.8,0.3,0.4,0.3,0.1,0.3,0.6,0.3,
Age,18 to 24 years,1.0,1.6,1.2,1.7,2.2,0.5,0.9,1.0,0.1,1.0,1.5,1.0,
,25 to 44 years,0.7,0.8,0.7,1.1,1.4,0.4,0.6,0.5,0.2,0.5,0.9,0.5,
,45 to 64 years,1.1,1.0,0.7,1.2,1.4,0.6,0.8,0.5,0.3,0.6,1.1,0.5,
,65 years and over,2.1,1.1,0.9,1.4,1.1,1.1,1.3,0.6,0.5,0.5,1.4,0.7,
Sex,Male,0.8,0.8,0.6,1.0,1.2,0.4,0.6,0.4,0.2,0.5,0.8,0.5,
,Female,0.9,0.7,0.6,0.9,1.1,0.5,0.6,0.5,0.2,0.5,0.8,0.4,
Race and Hispanic origin,White alone,0.7,0.6,0.5,0.7,0.9,0.3,0.5,0.3,0.2,0.4,0.6,0.3,
,White non-Hispanic alone,0.7,0.6,0.5,0.8,1.0,0.3,0.5,0.4,0.2,0.4,0.7,0.4,
,Black alone,2.2,1.5,1.5,2.2,2.7,1.5,1.1,1.2,0.4,1.1,2.2,1.2,
,Asian alone,3.8,4.6,3.1,4.2,6.1,1.6,3.2,2.0,1.4,2.4,4.7,2.6,
,Hispanic (of any race),2.3,2.2,2.1,3.1,3.7,1.3,1.8,1.6,0.7,1.5,2.5,1.1,
,White alone or in combination,0.7,0.6,0.5,0.7,0.9,0.3,0.5,0.3,0.1,0.4,0.6,0.3,
,Black alone or in combination,2.1,1.4,1.5,2.1,2.6,1.4,1.1,1.2,0.4,1.1,2.1,1.1,
,Asian alone or in combination,3.6,4.4,3.0,4.1,5.8,1.5,3.0,1.9,1.3,2.2,4.5,2.5,
Educational attainment,Less than high school graduate,2.4,1.2,1.4,2.1,2.2,1.4,1.3,0.7,0.6,1.0,1.8,0.8,
,High school graduate,1.1,0.8,0.7,1.2,1.4,0.6,0.8,0.5,0.3,0.6,1.0,0.6,
,Some College,1.0,0.9,0.7,1.1,1.4,0.5,0.7,0.6,0.2,0.6,1.0,0.5,
,Bachelors Degree or more,1.1,1.3,0.8,1.2,1.7,0.5,0.8,0.7,0.2,0.6,1.3,0.6,
Nativity,Native-born citizen,0.6,0.5,0.4,0.7,0.8,0.3,0.4,0.3,0.1,0.3,0.6,0.3,
,Naturalized citizen,2.0,2.0,1.3,2.1,2.6,1.0,1.2,1.0,0.6,1.1,2.0,1.0,
Duration of residence,Less than 1 year,1.2,1.3,1.1,1.5,2.0,0.8,0.9,1.2,0.2,0.9,1.6,0.6,
,1 to 2 years,1.3,1.3,1.1,1.7,2.2,0.7,1.0,1.0,0.2,0.8,1.4,0.7,
,3 years or longer,0.8,0.6,0.5,0.8,1.0,0.4,0.5,0.3,0.2,0.4,0.7,0.4,
,"Don't know, refused",4.4,4.5,3.8,4.9,6.7,1.4,2.6,2.1,2.0,1.9,5.4,6.0,
Region,Northeast,1.6,1.4,0.8,1.5,1.9,0.7,1.0,0.8,0.5,0.7,1.3,0.7,
,Midwest,1.2,1.0,0.8,1.4,1.7,0.6,0.9,0.6,0.2,0.7,1.2,0.6,
,South,1.0,0.8,0.6,1.0,1.2,0.5,0.6,0.5,0.2,0.5,0.9,0.5,
,West,1.3,1.2,1.3,1.6,1.9,0.6,1.0,0.8,0.1,0.7,1.5,0.7,
Family income2 ,Total in families,0.7,0.6,0.5,0.8,1.0,0.3,0.5,0.3,0.2,0.4,0.7,0.4,
,"Under $10,000",4.2,2.5,3.1,4.6,5.0,3.9,2.8,2.3,1.2,1.6,4.0,1.4,
,"$10,000 to $14,999",5.3,2.4,3.0,4.6,5.1,2.9,3.4,1.9,-,1.8,3.8,1.7,
,"$15,000 to $19,999",5.9,1.5,3.9,4.8,6.0,3.3,3.8,1.8,2.0,2.5,4.8,1.3,
,"$20,000 to $29,999",2.8,1.6,1.8,2.8,3.2,1.6,1.9,1.2,0.5,1.6,2.4,1.1,
,"$30,000 to $39,999",2.8,1.7,1.8,2.7,3.3,0.9,1.7,1.3,0.8,1.4,2.5,1.0,
,"$40,000 to $49,999",3.4,1.9,2.0,3.0,3.9,0.8,2.3,1.3,0.2,1.9,2.5,1.7,
,"$50,000 to $74,999",1.6,1.4,1.1,1.9,2.4,0.6,1.3,0.8,0.4,1.0,1.7,0.9,
,"$75,000 to $99,999",1.8,1.9,1.4,2.5,3.0,0.9,1.2,1.2,0.3,1.3,2.0,1.0,
,"$100,000 to $149,999",1.5,2.0,1.2,2.2,2.8,0.6,1.2,0.8,0.3,1.2,2.0,1.0,
,"$150,000 and over",1.6,2.5,1.3,2.1,2.9,0.4,1.3,1.0,0.2,1.0,2.0,1.0,
,Income not reported,2.1,1.8,1.4,2.1,2.6,0.8,1.2,0.8,0.4,1.0,1.9,1.4,
,,,,,,,,,,,,,,
1 Only individuals who report not voting but also report being registered are asked the question about reason for not voting.,,,,,,,,,,,,,,
"2 Family income is limited to persons who report income or refuse to answer the income question. Respondents who report not knowing their income are not included in this section, which includes only the reference person with relatives in the household or people with the following relationship to the householder: spouse, child, grandchild, parent, sibling, or other relative. This section excludes foster children, unmarried partners, non-relatives, and roommates.",,,,,,,,,,,,,,
NOTES:,,,,,,,,,,,,,,
A dash '-' represents zero or rounds to zero.,,,,,,,,,,,,,,
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see https://www2.census.gov/programs-surveys/cps/techdocs/cpsnov18.pdf",,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, November 2018",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
