"Table with row headers in columns A and B, and column headers in rows 5 through 6 and rows 60 through 61.",,,,,,,,,,,,,,
"Table 10. Reasons For Not Voting, By Selected Characteristics: November 2016",,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Selected characteristics,,Total not voting1 ,Percent distribution of reasons for not voting,,,,,,,,,,,
,,,Illness or disability,Out of town,Forgot to vote,Not interested,"Too busy, conflicting schedule",Transportation problems,Did not like candidates or campaign issues,Registration problems,Bad weather conditions,Inconvenient polling place,Other reason,Don't know or refused
,"$15,000 to $19,999",446,18.6,8.1,4.9,13.5,12.1,1.4,16.6,6.6,0.6,5.0,10.3,2.3
,"$20,000 to $29,999","1,144",16.5,4.8,1.9,14.4,14.6,3.3,26.9,2.5,-,2.2,11.6,1.3
,"$30,000 to $39,999","1,195",13.2,6.3,3.5,15.6,14.9,1.6,22.7,5.6,-,1.8,11.0,3.7
,"$40,000 to $49,999",910,12.4,6.1,4.0,19.0,16.1,0.2,20.5,4.4,-,2.2,12.7,2.4
,"$50,000 to $74,999","2,244",8.5,6.4,2.5,14.7,16.9,0.7,25.6,5.3,-,1.4,14.6,3.4
,"$75,000 to $99,999","1,371",7.2,7.6,2.6,14.9,21.3,1.0,24.9,3.6,-,3.9,10.9,1.8
,"$100,000 to $149,999","1,435",6.2,12.2,2.4,20.9,14.5,-,24.6,4.2,0.2,2.2,8.7,3.9
,"$150,000 and over",956,5.6,16.2,4.0,15.4,17.9,0.6,21.3,4.4,-,3.2,8.1,3.4
,Income not reported,"1,706",13.2,9.3,2.7,15.2,13.6,1.0,25.7,2.3,-,2.8,10.4,3.8
,,,,,,,,,,,,,,
1 Only individuals who report not voting but also report being registered are asked the question about reason for not voting.,,,,,,,,,,,,,,
"2 Family income is limited to persons who report income or refuse to answer the income question. Respondents who report not knowing their income are not included in this section, which includes only the reference person with relatives in the household or people with the following relationship to the householder: spouse, child, grandchild, parent, sibling, or other relative. This section excludes foster children, unmarried partners, non-relatives, and roommates.",,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
NOTES:,,,,,,,,,,,,,,
A dash '-' represents zero or rounds to zero.,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, November 2016",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Table 10a. Margins of Error for Reasons For Not Voting, By Selected Characteristics: November 2016",,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Selected characteristics,,Margins of error for distribution of reasons for not voting,,,,,,,,,,,,
,,Illness or disability,Out of town,Forgot to vote,Not interested,"Too busy, conflicting schedule",Transportation problems,Did not like candidates or campaign issues,Registration problems,Bad weather conditions,Inconvenient polling place,Other reason,Don't know or refused,
TOTAL, ,0.7,0.6,0.4,0.8,0.8,0.4,1.0,0.5,-,0.3,0.7,0.4,
Age,18 to 24 years,0.9,1.9,1.2,2.1,2.2,0.7,2.3,1.3,-,0.8,1.7,1.0,
,25 to 44 years,0.8,0.9,0.5,1.4,1.4,0.5,1.6,0.9,-,0.5,1.2,0.6,
,45 to 64 years,1.4,1.1,0.8,1.5,1.4,0.7,1.9,0.7,0.1,0.6,1.3,0.7,
,65 years and over,2.6,1.2,0.8,1.6,0.9,1.2,2.3,0.9,0.2,0.6,1.7,0.8,
Sex,Male,0.9,1.0,0.5,1.2,1.2,0.4,1.4,0.6,0.1,0.5,0.9,0.5,
,Female,1.1,0.7,0.5,1.1,1.0,0.6,1.4,0.7,0.1,0.4,1.0,0.5,
Race and Hispanic origin,White alone,0.8,0.7,0.4,0.9,0.9,0.4,1.1,0.5,0.1,0.4,0.8,0.4,
,White non-Hispanic alone,0.9,0.8,0.4,1.0,0.9,0.4,1.2,0.6,0.1,0.4,0.8,0.4,
,Black alone,2.3,1.8,1.4,2.8,2.5,1.5,2.9,1.4,-,1.1,2.4,1.2,
,Asian alone,4.5,5.7,3.0,6.8,6.7,1.8,7.5,3.2,0.5,1.7,6.2,4.0,
,Hispanic (of any race),2.6,2.6,1.8,3.7,3.6,0.7,4.3,2.2,-,1.7,3.2,1.5,
,White alone or in combination,0.8,0.7,0.4,0.9,0.9,0.4,1.1,0.5,0.1,0.4,0.8,0.4,
,Black alone or in combination,2.2,1.7,1.3,2.7,2.4,1.4,2.8,1.3,-,1.1,2.3,1.1,
,Asian alone or in combination,4.2,5.4,2.7,6.6,6.2,1.6,7.0,2.9,0.4,2.1,6.0,3.8,
Educational attainment,Less than high school graduate,2.6,1.3,1.3,2.3,2.0,1.5,2.8,1.1,-,0.8,2.2,0.8,
,High school graduate,1.3,0.9,0.6,1.4,1.3,0.6,1.6,0.7,0.1,0.6,1.1,0.6,
,Some College,1.1,1.1,0.6,1.4,1.5,0.6,1.7,0.8,-,0.5,1.3,0.6,
,Bachelors Degree or more,1.4,1.7,0.8,1.7,1.8,0.5,2.2,1.2,-,0.8,1.5,0.9,
Nativity,Native-born citizen,0.7,0.6,0.4,0.8,0.8,0.4,1.0,0.5,0.1,0.3,0.7,0.4,
,Naturalized citizen,2.6,2.6,1.0,3.0,3.0,0.7,3.4,1.5,-,0.9,2.6,1.9,
Duration of residence,Less than 1 year,1.3,1.5,0.9,1.8,1.8,0.8,2.1,1.6,0.1,0.7,1.7,0.8,
,1 to 2 years,1.5,1.4,1.0,2.0,2.2,1.0,2.5,1.2,-,0.9,1.7,0.9,
,3 years or longer,1.0,0.8,0.5,1.0,0.9,0.4,1.2,0.4,0.1,0.4,0.9,0.4,
,"Don't know, refused",4.2,4.2,2.8,7.4,5.5,3.2,6.8,3.6,-,2.1,6.2,6.9,
Region,Northeast,1.9,1.7,0.8,1.9,1.8,0.9,2.3,1.0,0.2,0.8,1.7,1.0,
,Midwest,1.5,1.2,0.7,1.7,1.7,0.8,2.1,0.8,-,0.7,1.4,0.7,
,South,1.1,0.9,0.6,1.2,1.2,0.6,1.5,0.7,0.1,0.5,1.1,0.5,
,West,1.4,1.3,1.1,2.0,1.8,0.5,2.2,1.2,0.1,0.6,1.7,1.0,
Family income2 ,Total in families,0.9,0.7,0.5,1.0,1.0,0.4,1.2,0.5,0.1,0.4,0.9,0.5,
,"Under $10,000",4.4,2.1,2.6,4.8,3.8,3.2,4.9,2.3,0.7,2.1,3.0,1.4,
,"$10,000 to $14,999",5.1,3.0,1.5,5.4,4.1,3.8,5.5,2.1,-,0.6,4.6,2.1,
,"$15,000 to $19,999",5.7,4.0,3.1,5.0,4.7,1.7,5.4,3.6,1.2,3.2,4.4,2.2,
,"$20,000 to $29,999",3.4,1.9,1.2,3.2,3.2,1.6,4.0,1.4,0.2,1.3,2.9,1.0,
,"$30,000 to $39,999",3.0,2.2,1.6,3.2,3.2,1.1,3.7,2.0,-,1.2,2.8,1.7,
,"$40,000 to $49,999",3.4,2.4,2.0,4.0,3.7,0.5,4.1,2.1,-,1.5,3.4,1.6,
,"$50,000 to $74,999",1.8,1.6,1.0,2.3,2.4,0.5,2.8,1.5,-,0.8,2.3,1.2,
,"$75,000 to $99,999",2.1,2.2,1.3,3.0,3.4,0.8,3.6,1.6,-,1.6,2.6,1.1,
,"$100,000 to $149,999",2.0,2.7,1.2,3.3,2.9,-,3.5,1.6,0.4,1.2,2.3,1.6,
,"$150,000 and over",2.3,3.7,1.9,3.6,3.8,0.8,4.1,2.0,-,1.8,2.7,1.8,
,Income not reported,2.5,2.2,1.2,2.7,2.6,0.7,3.3,1.1,-,1.2,2.3,1.4,
,,,,,,,,,,,,,,
1 Only individuals who report not voting but also report being registered are asked the question about reason for not voting.,,,,,,,,,,,,,,
"2 Family income is limited to persons who report income or refuse to answer the income question. Respondents who report not knowing their income are not included in this section, which includes only the reference person with relatives in the household or people with the following relationship to the householder: spouse, child, grandchild, parent, sibling, or other relative. This section excludes foster children, unmarried partners, non-relatives, and roommates.",,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
NOTES:,,,,,,,,,,,,,,
A dash '-' represents zero or rounds to zero.,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, November 2016",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
